title,type,director,cast,country,date_added,release_year,rating,duration,categories
Malaal,Movie,Mangesh Hadawale,"Meezaan Jaffrey, Sharmin Segal, Chinmaya Surve, Anil Gawas, Sonal Jha, Sanjay Gurbaxani, Sameer Dharmadhikari, Deepak Damle",India,2019-09-26,2019,TV-14,133 min,"Dramas, International Movies, Romantic Movies"
The Grandmaster,Movie,Wong Kar Wai,"Tony Leung Chiu-wai, Zhang Ziyi, Chang Chen, Xiao Shen-Yang, Zhao Benshan, Song Hye-kyo, Wang Qingxiang, Zhang Jin, Lo Hoi-pang, Cung Le, Julian Cheung","Hong Kong, China",2019-09-26,2013,PG-13,108 min,"Action & Adventure, Dramas, International Movies"
The Inmate,TV Show,,"Ignacio Serricchio, Ana Claudia Talancón, Flavio Medina, Luis Felipe Tovar, Mariana Seoane, Guy Ecker, Isabella Castillo, Bradley Stryker, Gustavo Sánchez Parra, Leonardo Ortizgris, Alejandro Calva, Rodrigo Oviedo, Ramón Medína, Erik Hayser, Tiaré Scanda",Mexico,2019-09-26,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Abstract: The Art of Design,TV Show,,"Christoph Niemann, Tinker Hatfield, Es Devlin, Bjarke Ingels, Paula Scher, Platon, Ilse Crawford, Ralph Gilles",United States,2019-09-25,2019,TV-14,2 Seasons,Docuseries
Birders,Movie,Otilia Portillo Padua,,"United States, Mexico",2019-09-25,2019,TV-G,38 min,"Documentaries, International Movies"
Glitch,TV Show,,"Patrick Brammall, Genevieve O'Reilly, Emma Booth, Emily Barclay, Ned Dennehy, Sean Keenan, Hannah Monson, Aaron L. McGrath, John Leary, Rodger Corser, Andrew McFarlane, Luke Arnold, Rob Collins, Pernilla August",Australia,2019-09-25,2019,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Horror"
Inside Man: Most Wanted,Movie,Michael J. Bassett,"Aml Ameen, Rhea Seehorn, Roxanne McKee, Urs Rechn, Akshay Kumar, Tanya van Graan, Andre Jacobs, Sven Ruygrok",United States,2019-09-24,2019,R,106 min,Action & Adventure
Jeff Dunham: Beside Himself,Movie,Troy Miller,Jeff Dunham,United States,2019-09-24,2019,TV-MA,58 min,Stand-Up Comedy
Manmadhudu 2,Movie,Rahul Ravindran,"Nagarjuna Akkineni, Rakul Preet Singh, Lakshmi, Rao Ramesh, Vennela Kishore, Jhansi, Devadarshini Chetan, Nishanti",India,2019-09-23,2019,TV-MA,152 min,"Comedies, Dramas, International Movies"
Under the Eiffel Tower,Movie,Archie Borders,"Matt Walsh, Judith Godreche, Reid Scott, Michaela Watkins, David Wain, Gary Cole",United States,2019-09-23,2018,TV-MA,87 min,"Comedies, Independent Movies, International Movies"
Do Paise Ki Dhoop Chaar Aane Ki Baarish,Movie,Deepti Naval,"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman",India,2019-09-22,2009,TV-MA,121 min,"Dramas, Independent Movies, International Movies"
Vagabond,TV Show,,"Lee Seung-gi, Bae Suzy, Shin Sung-rok, Moon Jung-hee, Baek Yoon-sik, Moon Sung-keun, Lee Gyoung-young, Lee Ki-young, Kim Min-jong, Jung Man-sik, Hwang Bo-ra",South Korea,2019-09-21,2019,TV-MA,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure"
Between Two Ferns: The Movie,Movie,Scott Aukerman,"Zach Galifianakis, Lauren Lapkus, Ryan Gaul, Jiavani Linayao, Will Ferrell",United States,2019-09-20,2019,TV-MA,83 min,Comedies
Criminal: Germany,TV Show,,"Eva Meckbach, Sylvester Groth, Florence Kasumba, Peter Kurth, Christian Berkel, Nina Hoss, Christian Kuchenbuch, Jonathan Berlin, Deniz Arora",Germany,2019-09-20,2019,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows"
Criminal: Spain,TV Show,Mariano Barroso,"Emma Suárez, Jorge Bosch, Álvaro Cervantes, Carmen Machi, Inma Cuesta, Eduard Fernández, María Morales, José Ángel Egido, Daniel Chamorro, Javi Coll, Carlos Manuel Díaz, Nuria Mencía, Milo Taboada",Spain,2019-09-20,2019,TV-MA,1 Season,"British TV Shows, Crime TV Shows, International TV Shows"
Fastest Car,TV Show,,,United States,2019-09-20,2019,TV-MA,2 Seasons,Reality TV
Inside Bill's Brain: Decoding Bill Gates,TV Show,,Bill Gates,United States,2019-09-20,2019,TV-14,1 Season,"Docuseries, Science & Nature TV"
The Hockey Girls,TV Show,"Kiko Cruz Claverol, Patricia Font","Iria del Río, Nora Navas, Josep Linuesa, Natàlia Barrientos, Dèlia Brufau, Yasmina Drissi Sales, Júlia Gibert, Mireia Oriol, Asia Ortega Leiva, Claudia Riera, Mireia Aixalà, Juli Fàbregas, Àgata Roca, Marc Clotet",Spain,2019-09-20,2019,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas"
Travel Mates 2,Movie,Bedran Güzel,"Oğuzhan Koç, İbrahim Büyükak, Ezgi Eyüboğlu, Olgun Toker, Kadir Polatçi, Aycan Koptur, Bahar Şahin, Kıvanç Baran Arslan",Turkey,2019-09-20,2018,TV-MA,111 min,"Comedies, International Movies"
True: Tricky Treat Day,Movie,,"Michela Luci, Jamie Watson, Eric Peterson, Anna Claire Bartlam, Nicolas Aqui, Cory Doran, Julie Lemieux, Derek McGrath",Canada,2019-09-20,2019,TV-Y,24 min,Children & Family Movies
Kabir Singh,Movie,Sandeep Reddy Vanga,"Shahid Kapoor, Kiara Advani, Suresh Oberoi, Arjan Bajwa, Adil Hussain, Nikita Dutta, Kamini Kaushal, Anurag Arora",India,2019-09-19,2019,TV-MA,171 min,"Dramas, International Movies, Romantic Movies"
When the Camellia Blooms,TV Show,,"Kong Hyo-jin, Kang Ha-neul, Kim Ji-seok, Oh Jung-se, Yeom Hye-ran, Son Dam-bi, Ji E-su, Go Du-sim",South Korea,2019-09-18,2019,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Avengement,Movie,Jesse V. Johnson,"Scott Adkins, Craig Fairbrass, Thomas Turgoose, Nick Moran, Kierston Wareing, Mark Strange, Leo Gregory, Luke LaFontaine, Beau Fowler, Dan Styles",United Kingdom,2019-09-17,2019,TV-MA,88 min,Action & Adventure
Sebastian Maniscalco: What's Wrong with People?,Movie,Manny Rodriguez,Sebastian Maniscalco,United States,2019-09-17,2012,TV-MA,76 min,Stand-Up Comedy
Los Tigres del Norte at Folsom Prison,Movie,Tom Donahue,Los Tigres del Norte,United States,2019-09-15,2019,TV-PG,64 min,"Documentaries, International Movies, Music & Musicals"
Steal a Pencil for Me,Movie,Michèle Ohayon,"Jack Polak, Ina Soep",United States,2019-09-15,2006,TV-14,94 min,Documentaries
Surviving R. Kelly,TV Show,,R. Kelly,United States,2019-09-15,2019,TV-MA,1 Season,"Crime TV Shows, Docuseries"
Oh! Baby,Movie,B. V. Nandini Reddy,"Samantha Ruth Prabhu, Lakshmi, Rajendraprasad, Naga Shourya, Rao Ramesh, Teja Sajja, Pragathi, Jagapathi Babu, Aishwarya, Urvashi",India,2019-09-14,2019,TV-14,157 min,"Comedies, International Movies, Music & Musicals"
The Crystal Calls Making the Dark Crystal: Age of Resistance,Movie,Randall Lobb,"Taron Egerton, Natalie Dormer, Simon Pegg, Jason Isaacs",United States,2019-09-14,2019,TV-PG,83 min,"Documentaries, International Movies"
"Hello, Privilege. It's Me, Chelsea",Movie,Alex Stapleton,Chelsea Handler,United States,2019-09-13,2019,TV-MA,65 min,Documentaries
Kabaneri of the Iron Fortress: The Battle of Unato,TV Show,,"Tasuku Hatanaka, Sayaka Senbongi, Maaya Uchida, Toshiki Masuda, Kanae Oki, Mariya Ise, Ryota Osaka, Kensuke Sato, Maxwell Powers, Shinichiro Miki",Japan,2019-09-13,2019,TV-MA,1 Season,"Anime Series, International TV Shows, TV Horror"
Locked on You,Movie,Kıvanç Baruönü,"Ata Demirer, Demet Akbağ, Gonca Vuslateri, İlker Aksum, Tarık Ünlüoğlu, Erkan Can, Hande Dane, Ayten Uncuoğlu, Hakan Salınmış, İştar Gökseven",Turkey,2019-09-13,2018,TV-14,105 min,"Comedies, International Movies"
Marianne,TV Show,,"Victoire Du Bois, Lucie Boujenah, Tiphaine Daviot, Ralph Amoussou, Bellamine Abdelmalek, Mehdi Meskar, Alban Lenoir, Mireille Herbstmeyer, Corinne Valancogne, Patrick d'Assumçao, Pierre Aussedat",France,2019-09-13,2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror"
Shanghai Fortress,Movie,Teng Huatao,"Lu Han, Shu Qi, Shi Liang, Godfrey Gao, Wang Gongliang, Wang Sen, Sun Jialing, Vincent Matile",China,2019-09-13,2019,TV-14,107 min,"Dramas, International Movies, Romantic Movies"
Tall Girl,Movie,Nzingha Stewart,"Ava Michelle, Griffin Gluck, Sabrina Carpenter, Paris Berelc, Luke Eisner, Clara Wilsey, Anjelika Washington, Rico Paris, Angela Kinsey, Steve Zahn",United States,2019-09-13,2019,TV-PG,103 min,"Children & Family Movies, Comedies, Romantic Movies"
Unbelievable,TV Show,,"Toni Collette, Merritt Wever, Kaitlyn Dever, Dale Dickey, Scott Lawrence, Danielle Macdonald, Austin Hébert, Eric Lange, Elizabeth Marvel",United States,2019-09-13,2019,TV-MA,1 Season,"Crime TV Shows, TV Dramas"
The I-Land,TV Show,,"Natalie Martinez, Kate Bosworth, Ronald Peet, Kyle Schmid, Alex Pettyfer, Sibylla Deen, Gilles Geary, Anthony Lee Medina, Kota Eberhardt, Michelle Veintimilla, Bruce McGill",United States,2019-09-12,2019,TV-MA,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
"The Mind, Explained",TV Show,,Emma Stone,United States,2019-09-12,2019,TV-14,1 Season,"Docuseries, Science & Nature TV"
Bill Burr: Paper Tiger,Movie,Mike Binder,Bill Burr,"United States, United Kingdom",2019-09-10,2019,TV-MA,67 min,Stand-Up Comedy
Evelyn,Movie,Orlando von Einsiedel,,United Kingdom,2019-09-10,2019,TV-MA,96 min,"Documentaries, International Movies"
Article 15,Movie,Anubhav Sinha,"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade",India,2019-09-06,2019,TV-MA,125 min,"Dramas, International Movies, Thrillers"
Care of Kancharapalem,Movie,Maha Venkatesh,"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri",India,2019-09-06,2018,TV-MA,142 min,"Comedies, Dramas, Independent Movies"
Ee Nagaraniki Emaindi,Movie,Tharun Bhascker,"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary",India,2019-09-06,2018,TV-14,133 min,"Comedies, Independent Movies, International Movies"
Kill Me If You Dare,Movie,Şenol Sönmez,"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu",Turkey,2019-09-06,2019,TV-14,100 min,"Comedies, International Movies, Romantic Movies"
The Spy,TV Show,,"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes",France,2019-09-06,2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
American Factory: A Conversation with the Obamas,Movie,,"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar",United States,2019-09-05,2019,TV-G,10 min,Documentaries
Saawan,Movie,Farhan Alam,"Karam Hussain, Arif Bahlim, Najiba Faiz, Saleem Mairaj, Imran Aslam, Daniyal Yousuf, Sohail Malik, Ali Hafiz",Pakistan,2019-09-04,2016,TV-14,128 min,"Dramas, Independent Movies, International Movies"
Watchman,Movie,A. L. Vijay,"G.V. Prakash Kumar, Samyuktha Hegde, Suman, Raj Arjun, Yogi Babu, Munishkanth",India,2019-09-04,2019,TV-14,93 min,"Comedies, Dramas, International Movies"
Elena,Movie,Petra Costa,,"Brazil, United States",2019-09-01,2012,TV-MA,81 min,"Documentaries, International Movies"
Moving Art,TV Show,,,United States,2019-09-01,2018,TV-G,3 Seasons,"Docuseries, Science & Nature TV"
Naruto,TV Show,Hayato Date,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Kazuhiko Inoue, Toshihiko Seki, Hidekatsu Shibata, Masako Katsuki, Nana Mizuki",Japan,2019-09-01,2006,TV-14,9 Seasons,"Anime Series, International TV Shows"
Olmo & the Seagull,Movie,"Petra Costa, Lea Glob","Olivia Corsini, Sergio Nicolai, Arman Saribekyan, Sylvain Jailloux, Francis Ressort, Pancho Garcia Aguirre, Shaghayegh Beheshti, Elena Bellei, Sébastien Brottet-Michel, Célia Catalifo","Denmark, Brazil, France, Portugal, Sweden",2019-09-01,2014,TV-MA,82 min,"Dramas, Independent Movies, International Movies"
Serial Killer with Piers Morgan,TV Show,,Piers Morgan,United Kingdom,2019-09-01,2018,TV-14,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
Spookley the Square Pumpkin,Movie,Bernie Denk,"Sonja Ball, Craig Francis, Rick Jones, Michel Perron, Holly Gauthier-Frankel, Norman Groulx, Terrence Scammell, Bruce Dinsmore, Jennifer Seguin",United States,2019-09-01,2004,G,47 min,Children & Family Movies
Uncle Naji in UAE,Movie,Ahmed Zain,"Ibrahim Almeirasi, Ahmed Saif, Alia Almannai, Mohamed Morshed, Mohamed Alkendi, Tariq Almuhairi",United Arab Emirates,2019-09-01,2019,TV-14,95 min,"Comedies, International Movies"
Luo Bao Bei,TV Show,,"Hana Burnett, Natalia-Jade Jonathan, Leo Tang, Gok Wan, Ching-He Huang, Pik Sen Lim, David Yip","China, United Kingdom",2019-08-31,2018,TV-Y,1 Season,"British TV Shows, Kids' TV"
Feo pero sabroso,Movie,Fernando Ayllón,"Iván Marín, Lina Cardona, Carlos Barbosa, Ana Cristina Botero, Karine Amaya, Fabiola Posada, Nelson Polanía, Andrea Carvajal, Rocío Tavera, Alberto Saavedra, Christian López, Jorge Herrera, Ricardo Quevedo",Colombia,2019-08-30,2018,TV-MA,91 min,"Comedies, International Movies"
Mi amigo Alexis,Movie,Alejandro Fernández Almendras,"Luciano González, Alexis Sánchez, Daniel Muñoz, Ignacia Uribe, Marco Baeza, Manuela Oyarzún, Camilo Carmona, Alejandra Yañez, Lorna Campos, Gustavo Becerra",Chile,2019-08-30,2019,TV-PG,102 min,"Children & Family Movies, Comedies, Dramas"
The Dark Crystal: Age of Resistance,TV Show,,"Taron Egerton, Nathalie Emmanuel, Anya Taylor-Joy, Donna Kimball, Mark Hamill, Simon Pegg, Helena Bonham Carter, Lena Headey, Alicia Vikander, Awkwafina, Gugu Mbatha-Raw, Benedict Wong, Caitriona Balfe, Natalie Dormer, Harvey Fierstein, Andy Samberg, Ralph Ineson, Jason Isaacs, Eddie Izzard, Theo James, Hannah John-Kamen, Toby Jones, Keegan-Michael Key, Mark Strong, Sigourney Weaver, Ólafur Darri Ólafsson","United Kingdom, United States",2019-08-30,2019,TV-PG,1 Season,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy"
The Good Bandit,TV Show,,"Diego Vásquez, Carolina Acevedo, Norma Nivia, Ana María Arango, Álvaro Bayona, Katherine Porto, Tiberio Cruz, Felipe Calero, Jimena Durán, Andrés Toro, Sebastián Sánchez, Isabella Barragán",Colombia,2019-08-30,2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
True and the Rainbow Kingdom,TV Show,,"Michela Luci, Jamie Watson, Anna Claire Bartlam, Dante Zee, Eric Peterson","United States, Canada",2019-08-30,2019,TV-Y,3 Seasons,Kids' TV
Unbridled,Movie,Jota Linares,"Natalia de Molina, Daniel Grao, Natalia Mateo, Ignacio Mateos, Borja Luna, Mario Tardón, Mariana Cordero",Spain,2019-08-30,2018,TV-MA,100 min,"International Movies, Thrillers"
Falling Inn Love,Movie,Roger Kumble,"Christina Milian, Adam Demos, Jeffrey Bowyer-Chapman, Anna Jullienne, Claire Chitham, Blair Strang, Jonathan Martin, William Walker, Daniel Watterson, Simone Walker",United States,2019-08-29,2019,TV-PG,98 min,"Comedies, Romantic Movies"
Kardec,Movie,Wagner de Assis,"Leonardo Medeiros, Sandra Corveloni, Genezio de Barros, Guilherme Piva, Leonardo Franco, Dalton Vigh, Charles Baudin, Julia Konrad",Brazil,2019-08-29,2019,TV-14,110 min,"Dramas, Faith & Spirituality, International Movies"
Travis Scott: Look Mom I Can Fly,Movie,White Trash Tyler,Travis Scott,United States,2019-08-28,2019,TV-MA,85 min,"Documentaries, Music & Musicals"
Million Pound Menu,TV Show,,,United Kingdom,2019-08-27,2019,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Reality TV"
Dave Chappelle: Sticks & Stones,Movie,Stan Lathan,Dave Chappelle,United States,2019-08-26,2019,TV-MA,66 min,Stand-Up Comedy
Drink Drank Drunk,Movie,Yeung Yat-Tak,"Carlos Chan, Ken Hung, Deep Ng, Michelle Wai, Yee Tong, Felix Lok, Kin-Yan Lee",Hong Kong,2019-08-24,2016,TV-MA,92 min,"Comedies, International Movies"
13 Reasons Why: Beyond the Reasons,TV Show,,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms",United States,2019-08-23,2019,TV-MA,3 Seasons,"Crime TV Shows, Docuseries"
Kaake Da Viyah,Movie,Rai Yuvraj Bains,"Priti Sapru, Nirmal Rishi, Jordan Sandhu, Prabh Grewal, Karamjit Anmol, Harby Sangha, Gurmeet Sajan, Prince Kanwaljit Singh",India,2019-08-23,2019,TV-PG,133 min,"Comedies, Dramas, International Movies"
Marriage Palace,Movie,Sunil Thakur,"Sharry Mann, Payal Rajput, Jaswinder Bhalla, B.N. Sharma, Harby Sangha, Nirmal Rishi, Anita Devgan, Rupinder Roopi",India,2019-08-23,2018,TV-14,135 min,"Comedies, International Movies"
Mayday Life,Movie,Muh Chen,"Mayday, Huang Bo, Tony Leung Ka-fai","China, Taiwan",2019-08-23,2019,TV-PG,120 min,"International Movies, Music & Musicals"
Saavat,Movie,Saurabh Sinha,"Smita Tambe, Milind Shirole, Shwetambari Ghute, Shitanshu Kumar Sharad, Nishikant Rawji, Sanjivani Khanvilkar",India,2019-08-23,2019,TV-14,118 min,"Dramas, Independent Movies, International Movies"
American Factory,Movie,"Steven Bognar, Julia Reichert",,United States,2019-08-21,2019,TV-14,110 min,Documentaries
Game Over (Tamil Version),Movie,Ashwin Saravanan,"Taapsee Pannu, Vinodhini, Parvathi T, Ramya Subramanian, Sanchana Natarajan, Anish Kuruvilla, David Solomon Raja","India, Turkey",2019-08-21,2019,TV-MA,98 min,"Horror Movies, International Movies, Thrillers"
Hyperdrive,TV Show,,"Rutledge Wood, Mike Hill, Michael Bisping, Lindsay Czarniak",United States,2019-08-21,2019,TV-PG,1 Season,Reality TV
The Girl Allergic to Wi-Fi,Movie,Jun Lana,"Sue Ramirez, Jameson Blake, Markus Paterson, Angellie Saño",Philippines,2019-08-21,2018,TV-MA,104 min,"International Movies, Romantic Movies"
Our Planet - Behind The Scenes,Movie,,David Attenborough,United Kingdom,2019-08-20,2019,TV-G,63 min,Documentaries
Simon Amstell: Set Free,Movie,Julia Knowles,Simon Amstell,United Kingdom,2019-08-20,2019,TV-MA,52 min,Stand-Up Comedy
45 rpm,TV Show,,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",Spain,2019-08-16,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Apache: The Life of Carlos Tevez,TV Show,,"Balthazar Murillo, Vanesa González, Alberto Ajaka, Sofía Gala Castiglione, Patricio Contreras, Matías Recalt, Osqui Guzmán, Roberto Vallejos, Diego Gallardo",Argentina,2019-08-16,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Better Than Us,TV Show,,"Paulina Andreeva, Kirill Käro, Aleksandr Ustyugov, Olga Lomonosova, Eldar Kalimulin, Vitaliya Kornienko, Vera Panfilova, Aleksandr Kuznetsov, Fyodor Lavrov, Sergey Sosnovskiy, Kirill Polukhin, Pavel Vorontsov",Russia,2019-08-16,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Diagnosis,TV Show,,Lisa Sanders,United States,2019-08-16,2019,TV-14,1 Season,"Docuseries, Science & Nature TV"
Green Frontier,TV Show,,"Juana del Río, Ángela Cano, Miguel Dionisio Ramos, Nelson Camayo, Bruno Clairefond, Marcela Mar, Andrés Crespo, John Narváez, Edwin Morales, Karla López, Antonio Bolívar",Colombia,2019-08-16,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
Invader Zim: Enter the Florpus,Movie,,"Richard Steven Horvitz, Rikki Simons, Andy Berman, Melissa Fahn, Rodger Bumpass, Jhonen Vasquez, Wally Wingert, Kevin McDonald, Olivia d'Abo, Eric Bauza","South Korea, United States",2019-08-16,2019,TV-Y7,72 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy"
MINDHUNTER,TV Show,,"Jonathan Groff, Holt McCallany, Anna Torv, Cotter Smith, Hannah Gross",United States,2019-08-16,2019,TV-MA,2 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries"
Selfless,Movie,Tarsem Singh,"Ryan Reynolds, Natalie Martinez, Matthew Goode, Ben Kingsley, Victor Garber, Derek Luke, Michelle Dockery, Melora Hardin, Brendan McCarthy, Sam Page",United States,2019-08-16,2015,PG-13,117 min,"Sci-Fi & Fantasy, Thrillers"
Sextuplets,Movie,Michael Tiddes,"Marlon Wayans, Bresha Webb, Michael Ian Black, Glynn Turman, Molly Shannon, Debbi Morgan",United States,2019-08-16,2019,TV-14,100 min,Comedies
Super Monsters Back to School,Movie,,"Elyse Maloway, Vincent Tong, Erin Matthews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Ian James Corlett, Britt McKillip, Kathleen Barr",Canada,2019-08-16,2019,TV-Y,24 min,Children & Family Movies
The King's Avatar,TV Show,,"Yang Yang, Jiang Shuying, Lai Yumeng, Li Muchen, Lai Yi, Fan Jinwei, Jiang Long, Sun Ning, Li Junchen, Zhao Chulun, Liu Qiushi, Jiang Xueming, Liang Yimu, Yang Tindong, Gao Hanyu, Kuang Muye, Ji Xiangning, Hao Shuai, Song Hanyu, Gu Youming",China,2019-08-16,2019,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas"
The Little Switzerland,Movie,Kepa Sojo,"Jon Plazaola, Maggie Civantos, Ingrid García Jonsson, Lander Otaola, Secun de la Rosa, Ramón Barea, Maribel Salas, Mikel Losada, Pepe Rapazote, Enrique Villén, Kandido Uranga, Anabela Teixeira, Karra Elejalde, Antonio Resines",Spain,2019-08-16,2019,TV-MA,86 min,"Comedies, International Movies"
Victim Number 8,TV Show,,"César Mateo, María de Nati, Verónika Moral, Iñaki Ardanaz, Farah Hamed, Lisi Linder, Khaled Kouka, Óscar Zafra, Jesús Ruyman, Alfonso Torregrosa, Itziar Lazkano, Son Khoury, Youssef Bougarouane, Marcial Álvarez",Spain,2019-08-16,2018,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
Cannon Busters,TV Show,,"Yoshitsugu Matsuoka, Hinaki Yano, Shiori Izawa, Junji Majima, Yosuke Akimoto, Nobuyuki Hiyama, Takaya Kuroda, Katsuhisa Houki, Taro Yamaguchi, Junko Minagawa, Tomomi Maruyama","United States, Japan",2019-08-15,2019,TV-MA,1 Season,"Anime Series, International TV Shows"
Sacred Games,TV Show,"Vikramaditya Motwane, Anurag Kashyap","Saif Ali Khan, Nawazuddin Siddiqui, Radhika Apte, Neeraj Kabi, Jitendra Joshi","India, United States",2019-08-15,2019,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas"
Til Death Do Us Part,TV Show,"Cho Li, Chen Hung-yi, Weica Wang, Liu Bang-yao, Lin Guan-fu, Shen Chi, YC Tom Lee","Wen Chen-ling, River Huang, Lin He-xuan, Phoebe Lin, Janel Tsai, Dara Hanfman, Hsia Teng-hung, Nikki Hsin-Ying Hsieh",Taiwan,2019-08-15,2019,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers"
Whindersson Nunes: Adult,Movie,Diego Pignataro,Whindersson Nunes,Brazil,2019-08-15,2019,TV-MA,69 min,Stand-Up Comedy
Uyare,Movie,Manu Ashokan,"Parvathy, Asif Ali, Tovino Thomas, Siddique, Pratap Pothan, Samyuktha Menon, Anarkali Marikar, Prem Prakash",India,2019-08-14,2019,TV-14,119 min,"Dramas, International Movies"
90 ML,Movie,Anita Udeep,"Oviya, Masoom Shankar, Bommu Lakshmi, Monisha Ram, Tej Raj, Shree Gopika, Anson Paul, Devadarshini Chetan",India,2019-08-13,2019,TV-MA,123 min,"Comedies, International Movies, Music & Musicals"
Calum von Moger: Unbroken,Movie,Vlad Yudin,Calum Von Moger,United States,2019-08-13,2019,TV-MA,93 min,"Documentaries, Sports Movies"
Hasta los dientes,Movie,Alberto Arnaut Estrada,,Mexico,2019-08-13,2018,TV-MA,109 min,"Documentaries, International Movies"
Knightfall,TV Show,,"Tom Cullen, Jim Carter, Pádraic Delaney, Simon Merrells, Julian Ovenden, Olivia Ross, Ed Stoppard, Sabrina Bartlett, Bobby Schofield, Sarah-Sofie Boussnina",United States,2019-08-13,2019,TV-MA,2 Seasons,TV Dramas
DC Super Hero Girls,TV Show,,"Grey Griffin, Tara Strong, Nicole Sullivan, Kari Wahlgren, Myrna Velasco, Kimberly Brooks",United States,2019-08-12,2019,TV-Y7,1 Season,Kids' TV
GLOW,TV Show,,"Alison Brie, Betty Gilpin, Marc Maron, Britney Young, Sydelle Noel, Gayle Rankin, Sunita Mani, Kimmy Gatewood, Rebekka Johnson, Jackie Tohn, Ellen Wong, Kate Nash, Britt Baron, Kia Stevens, Chris Lowell, Alex Rich",United States,2019-08-09,2019,TV-MA,3 Seasons,"TV Comedies, TV Dramas"
IZombie,TV Show,,"Rose McIver, Malcolm Goodwin, Rahul Kohli, Robert Buckley, David Anders, Aly Michalka",United States,2019-08-09,2019,TV-MA,5 Seasons,"TV Comedies, TV Dramas, TV Horror"
Jaoon Kahan Bata Ae Dil,Movie,Aadish Keluskar,"Khushboo Upadhyay, Rohit Kokate, Himanshu Kohli, Mohammed Shakir",India,2019-08-09,2018,TV-MA,107 min,"Dramas, Independent Movies, International Movies"
Rocko's Modern Life: Static Cling,Movie,"Joe Murray, Cosmo Segurson","Carlos Alazraqui, Tom Kenny, Charlie Adler, Jill Talley, Mr. Lawrence, Joe Murray",United States,2019-08-09,2019,TV-Y7,46 min,"Children & Family Movies, Comedies, LGBTQ Movies"
Sintonia,TV Show,,"Christian Malheiros, Jottapê, Bruna Mascarenhas",Brazil,2019-08-09,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
